part_id,mode_survey,group_yn,group_n,include_all_contacts,num_left_out,group_age0,group_age6,group_age12,group_age19,group_age60,group_age,group_cont
1020222,S,0,0,0,5,0,0,0,0,0,No Group Cont,No Group Cont
1020223,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020224,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020225,S,1,35,1,NA,0,1,0,0,0,age6-12,Group Cont
1020226,S,0,0,NA,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020227,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020228,S,0,0,0,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020229,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020230,S,0,0,0,2,0,0,0,0,0,No Group Cont,No Group Cont
1020231,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020232,S,1,30,0,15,0,0,0,1,0,age20-60,Group Cont
1020233,S,0,0,0,3,0,0,0,0,0,No Group Cont,No Group Cont
1020301,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020302,S,1,40,0,20,0,1,1,1,1,age6-12,Group Cont
1020303,S,1,30,NA,NA,0,0,0,1,0,age20-60,Group Cont
1020304,T,0,0,NA,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020305,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020306,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020307,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020308,S,1,20,1,NA,0,0,1,0,0,age13-19,Group Cont
1020309,T,1,30,NA,NA,0,0,0,1,1,age20-60,Group Cont
1020310,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020311,S,0,0,NA,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020312,S,0,0,0,3,0,0,0,0,0,No Group Cont,No Group Cont
1020314,T,0,0,NA,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020315,S,1,25,NA,NA,0,1,0,1,1,age6-12,Group Cont
1020316,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020317,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020318,S,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
1020319,T,0,0,1,NA,0,0,0,0,0,No Group Cont,No Group Cont
